session,video_name,folder_path,proposed_label,true_label,flag,duration_s,fps,n_frames,avg_people,max_people
live_output_10_2,20251001_131353_id100_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\pass,pass,,,2.6,10.0,26.0,3.0,3.0
live_output_10_2,20251001_131453_id113_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\pass,pass,,,4.78,9.0,43.0,2.72,4.0
live_output_10_2,20251001_131601_id117_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\pass,pass,,,4.18,11.0,46.0,2.78,4.0
live_output_10_2,20251001_131601_id119_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\pass,pass,,,1.27,11.0,14.0,3.07,4.0
live_output_10_2,20251001_131643_id125_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\pass,pass,,,3.62,13.0,47.0,0.81,1.0
live_output_10_2,20251001_132457_id126_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\pass,pass,,,4.58,12.0,55.0,0.84,2.0
live_output_10_2,20251001_132544_id129_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\pass,pass,,,0.92,13.0,12.0,1.08,2.0
live_output_10_2,20251001_132544_id130_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\pass,pass,,,3.69,13.0,48.0,0.83,2.0
live_output_10_2,20251001_132603_id132_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\pass,pass,,,5.69,13.0,74.0,0.88,2.0
live_output_10_2,20251001_132916_id135_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\pass,pass,,,3.31,13.0,43.0,0.79,1.0
live_output_10_2,20251001_133139_id140_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\pass,pass,,,4.31,13.0,56.0,0.82,1.0
live_output_10_2,20251001_133300_id142_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\pass,pass,,,10.08,13.0,131.0,1.5,3.0
live_output_10_2,20251001_133303_id144_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\pass,pass,,,8.2,10.0,82.0,1.98,3.0
live_output_10_2,20251001_133823_id149_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\pass,pass,,,3.83,12.0,46.0,0.78,1.0
live_output_10_2,20251001_135826_id153_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\pass,pass,,,5.0,13.0,65.0,0.86,1.0
live_output_10_2,20251001_135914_id156_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\pass,pass,,,2.85,13.0,37.0,0.73,2.0
live_output_10_10,20251010_120204_id3_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,3.31,13.0,43.0,0.77,1.0
live_output_10_10,20251010_120405_id11_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,3.92,12.0,47.0,0.79,1.0
live_output_10_10,20251010_120517_id29_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,3.23,13.0,42.0,0.81,2.0
live_output_10_10,20251010_122802_id44_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,3.54,13.0,46.0,0.76,1.0
live_output_10_10,20251010_122840_id45_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,3.54,13.0,46.0,0.74,1.0
live_output_10_10,20251010_130415_id89_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,4.91,11.0,54.0,2.11,3.0
live_output_10_10,20251010_130415_id90_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,4.3,10.0,43.0,2.26,4.0
live_output_10_10,20251010_130441_id91_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,4.83,12.0,58.0,1.28,3.0
live_output_10_10,20251010_130448_id97_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,1.09,11.0,12.0,0.17,1.0
live_output_10_10,20251010_130523_id102_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,1.31,13.0,17.0,0.41,1.0
live_output_10_10,20251010_130523_id99_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,1.62,13.0,21.0,0.62,2.0
live_output_10_10,20251010_130557_id103_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,10.31,13.0,134.0,1.25,3.0
live_output_10_10,20251010_130557_id104_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,17.69,13.0,230.0,1.12,3.0
live_output_10_10,20251010_130557_id105_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,1.15,13.0,15.0,1.67,3.0
live_output_10_10,20251010_130603_id105_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,2.64,11.0,29.0,2.07,3.0
live_output_10_10,20251010_130608_id105_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,1.8,10.0,18.0,1.17,3.0
live_output_10_10,20251010_130611_id103_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,1.2,10.0,12.0,0.92,1.0
live_output_10_10,20251010_130612_id103_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,8.8,10.0,88.0,0.92,3.0
live_output_10_10,20251010_130638_id113_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,2.46,13.0,32.0,0.47,1.0
live_output_10_10,20251010_130716_id114_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,12.5,12.0,150.0,0.85,2.0
live_output_10_10,20251010_130728_id119_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,1.09,11.0,12.0,0.08,1.0
live_output_10_10,20251010_130734_id120_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,5.69,13.0,74.0,0.28,2.0
live_output_10_10,20251010_130741_id120_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,7.45,11.0,82.0,0.67,3.0
live_output_10_10,20251010_130745_id125_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,1.09,11.0,12.0,1.0,1.0
live_output_10_10,20251010_130752_id126_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,20.42,12.0,245.0,0.79,2.0
live_output_10_10,20251010_130759_id132_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,1.27,11.0,14.0,1.0,1.0
live_output_10_10,20251010_130810_id137_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,4.0,11.0,44.0,0.84,2.0
live_output_10_10,20251010_130819_id126_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,5.62,13.0,73.0,0.81,3.0
live_output_10_10,20251010_130819_id138_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,1.15,13.0,15.0,1.4,3.0
live_output_10_10,20251010_130822_id139_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,2.82,11.0,31.0,0.65,2.0
live_output_10_10,20251010_130830_id126_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,1.58,12.0,19.0,0.0,0.0
live_output_10_10,20251010_130834_id140_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,20.75,12.0,249.0,0.85,2.0
live_output_10_10,20251010_130837_id143_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,1.45,11.0,16.0,1.06,2.0
live_output_10_10,20251010_130839_id143_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,1.1,10.0,11.0,1.36,2.0
live_output_10_10,20251010_130841_id143_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,2.27,11.0,25.0,0.72,2.0
live_output_10_10,20251010_130848_id143_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,12.91,11.0,142.0,0.61,2.0
live_output_10_10,20251010_130858_id140_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,1.91,11.0,21.0,0.57,2.0
live_output_10_10,20251010_130901_id140_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,5.2,10.0,52.0,0.44,2.0
live_output_10_10,20251010_130903_id143_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,8.0,11.0,88.0,0.83,1.0
live_output_10_10,20251010_130915_id143_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,1.27,11.0,14.0,0.64,1.0
live_output_10_10,20251010_130917_id143_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,7.09,11.0,78.0,0.81,3.0
live_output_10_10,20251010_130929_id147_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,1.91,11.0,21.0,0.9,2.0
live_output_10_10,20251010_130933_id147_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,3.27,11.0,36.0,0.58,2.0
live_output_10_10,20251010_131007_id152_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,8.4,10.0,84.0,0.57,2.0
live_output_10_10,20251010_131314_id153_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,4.54,13.0,59.0,0.85,2.0
live_output_10_10,20251010_131913_id177_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,4.58,12.0,55.0,0.82,1.0
live_output_10_10,20251010_132022_id178_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,3.0,13.0,39.0,0.77,1.0
live_output_10_10,20251010_132037_id181_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,10.92,13.0,142.0,0.94,2.0
live_output_10_10,20251010_132952_id186_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,3.54,13.0,46.0,0.78,1.0
live_output_10_10,20251010_133349_id196_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,3.92,13.0,51.0,1.49,2.0
live_output_10_10,20251010_133350_id197_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,3.91,11.0,43.0,1.51,2.0
live_output_10_10,20251010_134117_id203_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,4.62,13.0,60.0,0.82,1.0
live_output_10_10,20251010_134205_id204_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,3.54,13.0,46.0,0.78,1.0
live_output_10_10,20251010_134358_id207_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,3.62,13.0,47.0,0.79,1.0
live_output_10_10,20251010_134848_id215_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\enter,enter,,,5.42,12.0,65.0,0.85,1.0
live_output_10_10,20251010_120147_id1_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,3.08,12.0,37.0,0.76,2.0
live_output_10_10,20251010_120338_id7_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,4.92,12.0,59.0,0.86,2.0
live_output_10_10,20251010_120338_id9_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,0.92,12.0,11.0,1.0,1.0
live_output_10_10,20251010_120439_id14_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,12.42,12.0,149.0,1.67,3.0
live_output_10_10,20251010_120443_id16_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,1.36,11.0,15.0,2.07,3.0
live_output_10_10,20251010_120443_id18_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,10.18,11.0,112.0,1.82,3.0
live_output_10_10,20251010_120447_id22_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,3.1,10.0,31.0,2.03,3.0
live_output_10_10,20251010_120518_id30_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,0.85,13.0,11.0,1.09,2.0
live_output_10_10,20251010_120533_id33_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,7.25,12.0,87.0,0.87,1.0
live_output_10_10,20251010_120806_id34_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,5.08,13.0,66.0,0.92,2.0
live_output_10_10,20251010_120812_id35_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,1.0,11.0,11.0,0.09,1.0
live_output_10_10,20251010_122607_id39_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,3.38,13.0,44.0,1.77,2.0
live_output_10_10,20251010_122608_id40_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,4.08,13.0,53.0,1.43,2.0
live_output_10_10,20251010_123124_id47_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,5.08,12.0,61.0,1.51,2.0
live_output_10_10,20251010_123124_id48_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,4.08,12.0,49.0,1.82,2.0
live_output_10_10,20251010_123201_id51_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,3.0,13.0,39.0,1.67,2.0
live_output_10_10,20251010_123202_id52_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,3.85,13.0,50.0,1.4,4.0
live_output_10_10,20251010_123205_id51_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,1.5,10.0,15.0,0.8,3.0
live_output_10_10,20251010_123235_id57_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,8.08,12.0,97.0,0.91,1.0
live_output_10_10,20251010_124931_id65_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,3.46,13.0,45.0,0.78,1.0
live_output_10_10,20251010_125532_id66_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,3.92,12.0,47.0,0.79,1.0
live_output_10_10,20251010_130233_id67_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,4.83,12.0,58.0,1.79,2.0
live_output_10_10,20251010_130233_id68_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,6.08,12.0,73.0,1.49,2.0
live_output_10_10,20251010_130319_id71_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,4.75,12.0,57.0,2.7,7.0
live_output_10_10,20251010_130319_id72_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,4.17,12.0,50.0,2.7,5.0
live_output_10_10,20251010_130322_id78_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,4.7,10.0,47.0,2.43,6.0
live_output_10_10,20251010_130322_id84_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,5.7,10.0,57.0,1.89,4.0
live_output_10_10,20251010_130324_id87_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,1.38,8.0,11.0,2.09,3.0
live_output_10_10,20251010_130413_id88_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,4.92,13.0,64.0,2.09,3.0
live_output_10_10,20251010_130443_id92_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,4.9,10.0,49.0,1.18,2.0
live_output_10_10,20251010_130906_id140_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,100.4,10.0,1004.0,0.91,3.0
live_output_10_10,20251010_131354_id156_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,5.62,13.0,73.0,3.59,6.0
live_output_10_10,20251010_131355_id160_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,5.0,11.0,55.0,4.18,6.0
live_output_10_10,20251010_131355_id161_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,6.0,11.0,66.0,3.8,6.0
live_output_10_10,20251010_131357_id163_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,7.89,9.0,71.0,3.13,6.0
live_output_10_10,20251010_131358_id166_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,6.88,8.0,55.0,3.58,6.0
live_output_10_10,20251010_132100_id182_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,2.77,13.0,36.0,0.72,1.0
live_output_10_10,20251010_132237_id183_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,3.58,12.0,43.0,0.74,1.0
live_output_10_10,20251010_133141_id187_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,6.67,12.0,80.0,0.86,1.0
live_output_10_10,20251010_133309_id189_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,4.69,13.0,61.0,1.75,2.0
live_output_10_10,20251010_133310_id191_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,5.38,13.0,70.0,1.46,2.0
live_output_10_10,20251010_133318_id193_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,2.92,12.0,35.0,1.43,3.0
live_output_10_10,20251010_133319_id194_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,2.83,12.0,34.0,1.12,3.0
live_output_10_10,20251010_133417_id199_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,6.08,13.0,79.0,0.89,1.0
live_output_10_10,20251010_133858_id201_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,4.62,13.0,60.0,0.83,1.0
live_output_10_10,20251010_134310_id205_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,4.0,12.0,48.0,0.77,1.0
live_output_10_10,20251010_134443_id208_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,3.54,13.0,46.0,0.8,1.0
live_output_10_10,20251010_134448_id211_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,6.27,11.0,69.0,0.87,1.0
live_output_10_10,20251010_134458_id214_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,12.17,12.0,146.0,0.93,2.0
live_output_10_10,20251010_135225_id218_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_10\pass,pass,,,7.46,13.0,97.0,0.89,1.0
live_output_10_13,20251013_120029_id1_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_13\enter,enter,,,2.85,13.0,37.0,0.73,1.0
live_output_10_13,20251013_120356_id10_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_13\enter,enter,,,8.75,12.0,105.0,0.9,2.0
live_output_10_13,20251013_120422_id19_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_13\enter,enter,,,6.62,13.0,86.0,2.16,4.0
live_output_10_13,20251013_120424_id21_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_13\enter,enter,,,6.27,11.0,69.0,2.33,4.0
live_output_10_13,20251013_120425_id22_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_13\enter,enter,,,5.45,11.0,60.0,2.52,4.0
live_output_10_13,20251013_121027_id24_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_13\enter,enter,,,5.17,12.0,62.0,1.55,3.0
live_output_10_13,20251013_121028_id25_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_13\enter,enter,,,4.25,12.0,51.0,1.73,3.0
live_output_10_13,20251013_121614_id37_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_13\enter,enter,,,3.38,13.0,44.0,0.8,2.0
live_output_10_13,20251013_121639_id39_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_13\enter,enter,,,3.46,13.0,45.0,0.78,1.0
live_output_10_13,20251013_122106_id45_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_13\enter,enter,,,3.77,13.0,49.0,0.84,2.0
live_output_10_13,20251013_125216_id62_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_13\enter,enter,,,4.85,13.0,63.0,1.54,2.0
